Date,Team1,Team2
5/05/2025,Adarsha Dragons,Adarsha Roarers
5/05/2025,Adarsha Shena,Adarsha Tigers
6/05/2025,Adarsha Titans,Adarsha Warriors
6/05/2025,Adarsha Avengers,Adarsha Dragons
7/05/2025,Adarsha Roarers,Adarsha Shena
7/05/2025,Adarsha Tigers,Adarsha Titans
8/05/2025,Adarsha Warriors,Adarsha Avengers
8/05/2025,Adarsha Dragons,Adarsha Tigers
9/05/2025,Adarsha Shena,Adarsha Warriors
9/05/2025,Adarsha Titans,Adarsha Dragons
10/05/2025,Adarsha Avengers,Adarsha Shena
10/05/2025,Adarsha Roarers,Adarsha Titans
10/05/2025,Adarsha Tigers,Adarsha Avengers
10/05/2025,Adarsha Warriors,Adarsha Dragons
11/05/2025,Adarsha Titans,Adarsha Avengers
11/05/2025,Adarsha Roarers,Adarsha Tigers
12/05/2025,Adarsha Dragons,Adarsha Shena
12/05/2025,Adarsha Warriors,Adarsha Tigers
13/05/2025,Adarsha Avengers,Adarsha Roarers
13/05/2025,Adarsha Shena,Adarsha Titans
14/05/2025,Adarsha Roarers,Adarsha Warriors
15/05/2025,,
16/05/2025,Adarsha Dragons,Adarsha Roarers
16/05/2025,Adarsha Shena,Adarsha Tigers
17/05/2025,Adarsha Titans,Adarsha Warriors
17/05/2025,Adarsha Avengers,Adarsha Dragons
17/05/2025,Adarsha Roarers,Adarsha Shena
17/05/2025,Adarsha Tigers,Adarsha Titans
18/05/2025,Adarsha Warriors,Adarsha Avengers
18/05/2025,Adarsha Dragons,Adarsha Tigers
19/05/2025,Adarsha Shena,Adarsha Warriors
19/05/2025,Adarsha Titans,Adarsha Dragons
20/05/2025,Adarsha Avengers,Adarsha Shena
20/05/2025,Adarsha Roarers,Adarsha Titans
21/05/2025,Adarsha Tigers,Adarsha Avengers
21/05/2025,Adarsha Warriors,Adarsha Dragons
22/05/2025,Adarsha Titans,Adarsha Avengers
22/05/2025,Adarsha Roarers,Adarsha Tigers
23/05/2025,Adarsha Dragons,Adarsha Shena
23/05/2025,Adarsha Warriors,Adarsha Tigers
24/05/2025,Adarsha Avengers,Adarsha Roarers
24/05/2025,Adarsha Shena,Adarsha Titans
24/05/2025,Adarsha Roarers,Adarsha Warriors
